section,offence_name,class,minimum_indictable,maximum_indictable,minimum_summary,maximum_summary
cc273(2)(b),aggravated sexual assault,,life,,
cc273.3,removal of child from canada — sexual offences,,5y,,summary
cc279(1.1)(a),kidnapping — restricted or prohibited firearm or criminal organization — first offence,5y,life,,
cc279(1.1)(a),kidnapping — restricted or prohibited firearm or criminal organization — subsequent offence,7y,life,,
cc279(1.1)(a.1),kidnapping — firearm,4y,life,,
cc279(1.1)(a.2),kidnapping — complainant under 16,5y,life,,
cc279(1.1)(b),kidnapping,,life,,
cc279(2),forcible confinement,,10y,,summary
cc279.01(1)(a),trafficking in persons — additional violent offence,5y,life,,
cc279.01(1)(b),trafficking in persons,,14y,,
cc279.011(1)(a),trafficking of a person under the age of eighteen years — additional violent offence,6y,life,,
cc279.011(1)(b),trafficking of a person under the age of eighteen years,5y,14y,,
cc279.02(1),material benefit — trafficking,,10y,,summary
cc279.02(2),material benefit — trafficking of person under 18 years,2y,14y,,
cc279.03(1),withholding or destroying documents — trafficking,,5y,,summary
cc279.03(2),withholding or destroying documents — trafficking of person under 18 years,1y,14y,,
cc279.1(2)(a),hostage taking — restricted or prohibited firearm or criminal organization — first offence,5y,life,,
cc279.1(2)(a),hostage taking — restricted or prohibited firearm or criminal organization — subsequent offence,7y,life,,
cc279.1(2)(a.1),hostage taking — firearm,4y,life,,
cc279.1(2)(b),hostage taking,,life,,
cc280,abduction of person under age of 16,,5y,,summary
cc281,abduction of person under age of 14,,10y,,summary
cc282,abduction in contravention of custody or parenting order,,10y,,summary
cc283,abduction,,10y,,summary
cc286.1(1)(a)(i),obtaining sexual services for consideration — public place — first offence,2000$,5y,1000$,729d-5000$-729d&5000$
cc286.1(1)(a)(i),obtaining sexual services for consideration — public place — subsequent offence,4000$,5y,2000$,729d-5000$-729d&5000$
cc286.1(1)(a)(ii),obtaining sexual services for consideration — first offence,1000$,5y,500$,729d-5000$-729d&5000$
cc286.1(1)(a)(ii),obtaining sexual services for consideration — subsequent offence,2000$,5y,1000$,729d-5000$-729d&5000$
